City_ID,City,Lat,Lng,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
515,Chitrakonda,18.1167,82.0833,overcast clouds,77.65,62,86,2.28,IN
516,General Roca,-39.0333,-67.5833,clear sky,60.8,72,0,2.3,AR
517,Zaykovo,57.5613,62.7568,overcast clouds,44.06,64,100,4.83,RU
518,Yanam,16.7333,82.2167,heavy intensity rain,77.76,90,69,3.87,IN
519,Quatre Cocos,-20.2078,57.7625,light rain,77.0,94,75,6.91,MU
520,Hobyo,5.3505,48.5268,broken clouds,83.53,71,77,11.59,SO
521,Senno,59.5336,33.9167,light rain,43.36,79,44,9.28,RU
522,Quirinopolis,-18.4483,-50.4517,clear sky,70.97,37,0,2.04,BR
523,Lipari,38.4674,14.954,light rain,61.0,86,100,1.99,IT
524,Te Anau,-45.4167,167.7167,overcast clouds,53.29,76,93,6.15,NZ
525,Ghanzi,-21.5667,21.7833,overcast clouds,62.04,33,97,5.44,BW
526,Bongandanga,1.5,21.05,clear sky,73.8,75,10,1.61,CD
527,Zaysan,47.4667,84.8667,light snow,28.53,68,100,2.66,KZ
528,Tarauaca,-8.1614,-70.7656,broken clouds,74.62,95,75,2.3,BR
529,Hami,42.8,93.45,overcast clouds,45.34,32,99,9.89,CN
530,Palmerston North,-40.35,175.6167,overcast clouds,66.0,66,100,1.99,NZ
531,Maragogi,-9.0122,-35.2225,few clouds,78.85,83,11,8.43,BR
532,Padang,-0.9492,100.3543,scattered clouds,75.2,94,40,2.3,ID
533,Denpasar,-8.65,115.2167,few clouds,77.0,73,20,2.3,ID
534,Canto Do Buriti,-8.11,-42.9444,scattered clouds,73.42,93,47,3.0,BR
535,Xinzhou,38.4092,112.7333,overcast clouds,54.88,68,99,3.27,CN
536,Shache,38.4167,77.2406,few clouds,50.41,14,12,6.73,CN
537,Matagami,49.7502,-77.6328,clear sky,37.4,44,1,13.8,CA
538,Tonj,7.2737,28.6822,light rain,78.82,66,100,3.22,SS
539,Haines Junction,60.7522,-137.5108,clear sky,48.2,25,0,5.75,CA
540,Malinovskiy,61.1953,62.8397,overcast clouds,40.84,82,100,4.23,RU
541,Ashland,40.8167,-82.2665,overcast clouds,45.0,56,86,3.0,US
542,Ust-Ishim,57.6935,71.1665,few clouds,31.93,64,11,8.99,RU
543,Tyukalinsk,55.8732,72.1967,clear sky,31.78,62,0,10.74,RU
544,Bani,18.2833,-70.3333,few clouds,82.99,78,17,3.0,DO
545,Laredo,27.5064,-99.5075,overcast clouds,82.4,61,90,19.57,US
546,Los Llanos De Aridane,28.6585,-17.9182,clear sky,68.0,68,0,5.75,ES
547,General Pico,-35.6566,-63.7568,light rain,61.86,96,96,1.99,AR
548,Qaqortoq,60.7167,-46.0333,few clouds,50.0,29,20,11.5,GL
549,Prado,-17.3411,-39.2208,overcast clouds,74.53,88,96,6.02,BR
550,Vao,-22.6667,167.4833,scattered clouds,74.26,73,32,5.61,NC
551,Balkhash,46.844,74.9804,clear sky,34.29,49,0,15.95,KZ
552,Kitimat,54.0524,-128.6534,broken clouds,64.0,35,83,1.66,CA
553,Lichuan,30.3,108.85,light rain,59.0,96,94,5.12,CN
554,La Oroya,-11.5189,-75.8994,overcast clouds,43.9,91,94,3.76,PE
555,Sri Aman,1.2376,111.4621,broken clouds,73.4,94,79,3.44,MY
556,Fairbanks,64.8378,-147.7164,clear sky,55.0,25,1,9.22,US
557,Seguela,7.9611,-6.6731,light rain,74.91,84,98,3.4,CI
558,Mae Hong Son,19.3003,97.9685,clear sky,74.97,78,0,1.36,TH
559,Mwinilunga,-11.7358,24.4293,overcast clouds,63.99,87,97,3.53,ZM
560,Yurkivka,49.0126,31.1013,few clouds,48.2,79,24,11.43,UA
561,Beyneu,45.3167,55.2,overcast clouds,58.69,27,91,20.31,KZ
562,Raudeberg,61.9875,5.1352,light rain,36.0,93,100,9.95,NO
563,Oistins,13.0667,-59.5333,scattered clouds,80.6,61,40,19.57,BB
564,Dargaville,-35.9333,173.8833,overcast clouds,67.53,61,97,4.76,NZ
565,Kenscoff,18.4506,-72.2869,scattered clouds,84.2,70,40,10.36,HT
566,Busayra,30.7376,35.6078,overcast clouds,60.44,32,100,2.82,JO
567,Grand Island,40.925,-98.342,overcast clouds,53.6,37,90,21.85,US
568,Paragominas,-2.9667,-47.4833,overcast clouds,73.0,99,100,1.7,BR
569,Hopelchen,19.7667,-89.85,few clouds,86.0,74,20,12.66,MX
570,Acari,-15.4311,-74.6158,scattered clouds,70.97,85,25,5.99,PE
571,Nurota,40.5614,65.6886,clear sky,55.4,50,9,20.71,UZ
572,Salair,54.2312,85.7972,clear sky,25.27,87,6,7.23,RU
573,San Fernando,15.0286,120.6898,broken clouds,78.8,83,75,2.3,PH
574,Atakpame,7.5333,1.1333,broken clouds,77.63,78,69,3.6,TG
575,Makamba,-4.1348,29.804,overcast clouds,61.88,88,94,1.3,BI
576,Foumban,5.7291,10.9001,light rain,65.3,92,96,3.78,CM
577,Sangar,63.9242,127.4739,overcast clouds,13.35,91,88,6.58,RU
578,Meiganga,6.5167,14.3,light rain,67.19,92,100,2.64,CM
579,Savelugu,9.6244,-0.8253,overcast clouds,89.08,44,91,6.67,GH
580,Yekaterinovka,52.0508,44.3451,few clouds,46.08,76,16,4.05,RU
581,Mongo,12.1844,18.693,broken clouds,91.18,25,71,4.32,TD
582,Hofn,64.2539,-15.2082,overcast clouds,38.23,79,100,4.68,IS
583,Saint-Medard-En-Jalles,44.8969,-0.7214,clear sky,55.99,71,0,4.61,FR
584,Domoni,-12.2569,44.5319,light rain,79.25,84,100,12.97,KM
585,Mastic Beach,40.7668,-72.8521,broken clouds,46.4,31,75,24.16,US
586,Den Helder,52.9599,4.7593,broken clouds,41.0,87,75,4.61,NL
587,Voyvozh,62.892,54.9635,overcast clouds,38.21,90,100,9.64,RU
588,High Rock,26.6208,-78.2833,scattered clouds,78.8,69,40,6.91,BS
589,Buchanan,5.8808,-10.0467,moderate rain,75.2,94,75,5.79,LR
590,Villazon,-22.0866,-65.5942,clear sky,55.53,15,1,7.18,BO
591,Torrington,41.8007,-73.1212,broken clouds,43.0,48,61,5.01,US
592,Hammerfest,70.6634,23.6821,snow,32.0,80,40,5.75,NO
593,Atasu,48.6814,71.6433,scattered clouds,29.93,50,30,10.96,KZ
594,Hervey Bay,-25.2986,152.8535,overcast clouds,70.0,54,93,3.0,AU
595,Biltine,14.5333,20.9167,scattered clouds,86.36,16,42,6.38,TD
596,Hovd,48.0056,91.6419,overcast clouds,30.99,35,100,3.58,MN
597,Vaitape,-16.5167,-151.75,light rain,81.09,73,11,14.81,PF
598,Shelburne,44.0787,-80.2041,overcast clouds,39.99,55,86,14.56,CA
599,Chadan,51.2833,91.5833,overcast clouds,30.43,54,100,3.06,RU
600,Rundu,-17.9333,19.7667,clear sky,61.03,45,2,7.07,NA
601,Manokwari,-0.8667,134.0833,moderate rain,80.47,74,99,2.71,ID
602,Verkhoyansk,67.5447,133.385,broken clouds,8.98,85,78,3.87,RU
603,Arona,28.0996,-16.681,few clouds,68.0,73,20,6.91,ES
604,Mokolo,10.7398,13.8019,overcast clouds,86.61,28,86,1.3,CM
605,Beringovskiy,63.05,179.3167,broken clouds,26.11,72,59,7.92,RU
606,Lokosovo,61.1333,74.8167,few clouds,27.86,83,14,9.86,RU
607,Kisaran,2.9845,99.6158,overcast clouds,73.31,97,100,2.26,ID
608,Sioux Lookout,50.1001,-91.917,scattered clouds,64.4,19,40,10.36,CA
609,Erenhot,43.6475,111.9767,clear sky,53.8,61,2,10.67,CN
610,Pascagoula,30.3658,-88.5561,clear sky,69.01,37,1,8.05,US
611,Sambava,-14.2667,50.1667,light rain,74.89,89,95,10.89,MG
612,Muli,2.9167,73.5667,broken clouds,82.92,70,82,11.3,MV
613,Kulunda,52.566,78.9385,clear sky,30.47,67,3,7.92,RU
614,Maraa,-1.8333,-65.3667,light rain,75.24,96,86,2.59,BR
615,Nakhon Phanom,17.3333,104.4167,scattered clouds,77.72,76,30,4.85,TH
616,Asfi,32.2994,-9.2372,overcast clouds,62.44,85,85,9.15,MA
617,Eirunepe,-6.6603,-69.8736,overcast clouds,75.06,94,86,1.14,BR
618,Ibra,22.6906,58.5334,clear sky,75.96,26,2,2.48,OM
619,Zwedru,6.0667,-8.1281,moderate rain,74.61,95,87,3.27,LR
620,Kasongo-Lunda,-6.4667,16.8167,light rain,67.08,97,100,0.67,CD
621,Ingham,42.6,-84.3833,clear sky,46.99,29,1,17.27,US
622,Dubbo,-32.25,148.6167,overcast clouds,44.6,76,90,2.3,AU
623,Lewistown,40.5992,-77.5714,overcast clouds,43.0,41,100,15.01,US
624,Puerto Escondido,15.85,-97.0667,broken clouds,86.4,55,78,6.76,MX
625,Angren,41.0167,70.1436,clear sky,48.09,53,0,5.26,UZ
626,Kangaatsiaq,68.3065,-53.4641,overcast clouds,26.71,76,95,6.73,GL
627,Serdobsk,52.4586,44.2169,few clouds,45.25,74,15,4.63,RU
628,Santa Maria,-29.6842,-53.8069,clear sky,69.8,60,0,5.75,BR
629,Shubarkuduk,49.1447,56.4872,overcast clouds,48.92,53,100,16.4,KZ
630,Russell,32.3502,-85.1999,clear sky,68.0,21,1,6.91,US
631,Kresna,41.7333,23.15,overcast clouds,52.72,83,100,3.36,BG
632,Vestmanna,62.1564,-7.1664,broken clouds,41.0,93,75,4.81,FO
633,Hauterive,46.0901,3.4459,clear sky,50.0,71,0,2.3,FR
634,Dicabisagan,17.0818,122.4157,overcast clouds,77.2,78,95,3.09,PH
635,Jalu,29.0331,21.5482,overcast clouds,73.2,19,98,9.93,LY
636,Sidi Ali,36.0998,0.4206,broken clouds,56.57,86,67,2.95,DZ
637,Suntar,62.1444,117.6319,light snow,27.93,92,100,13.09,RU
638,Linares,-35.85,-71.6,overcast clouds,57.22,77,95,5.68,CL
639,Palmer,42.1584,-72.3287,broken clouds,42.8,31,75,24.16,US
640,Ust-Kuyga,70.0167,135.6,overcast clouds,6.15,89,92,2.89,RU
641,Saint-Francois,46.4154,3.9054,clear sky,50.0,66,0,5.75,FR
642,Osorno,-40.5667,-73.15,moderate rain,55.4,78,90,9.22,CL
643,Mugur-Aksy,50.35,90.5,overcast clouds,14.41,94,100,4.03,RU
644,Malanje,-9.5402,16.341,light rain,63.64,94,96,3.22,AO
645,Sainte-Suzanne,-20.9061,55.6089,moderate rain,77.0,78,100,16.11,RE
646,Myitkyina,25.3833,97.4,clear sky,71.37,53,1,1.32,MM
647,Peniche,39.3558,-9.3811,overcast clouds,59.0,86,100,8.03,PT
648,Waipawa,-41.4122,175.5153,scattered clouds,64.4,72,40,18.41,NZ
649,Luoyang,34.6836,112.4536,overcast clouds,56.55,81,98,7.9,CN
650,Durango,24.8333,-104.8333,overcast clouds,77.13,6,100,22.03,MX
651,Namatanai,-3.6667,152.4333,overcast clouds,83.17,71,96,1.01,PG
652,Tateyama,34.9833,139.8667,clear sky,57.0,52,8,13.35,JP
653,Kohila,59.1681,24.7575,few clouds,37.99,87,20,4.61,EE
654,Blairmore,49.6,-114.4353,light snow,37.4,69,90,11.5,CA
655,Villaviciosa,43.4813,-5.4357,scattered clouds,57.0,82,44,4.65,ES
656,Bukoba,-1.3317,31.8122,light rain,64.18,90,78,4.81,TZ
657,Bucyrus,40.8084,-82.9755,broken clouds,46.4,39,75,17.27,US
658,Altamira,-3.2033,-52.2064,overcast clouds,73.54,96,92,6.62,BR
659,Jega,12.2175,4.3792,broken clouds,92.1,31,70,9.06,NG
660,Parangan,5.0839,119.9383,few clouds,79.9,80,12,2.35,PH
661,Soyo,-6.1349,12.3689,light rain,79.43,90,79,6.35,AO
662,Mangrol,21.1167,70.1167,overcast clouds,78.98,80,99,9.44,IN
663,Tottori,35.5,134.2333,broken clouds,48.2,66,75,5.75,JP
664,Borskoye,53.0333,51.7167,overcast clouds,39.25,95,100,6.15,RU
665,Bagdarin,54.4333,113.6,broken clouds,22.8,40,52,2.98,RU
666,Bandarbeyla,9.4942,50.8122,light rain,82.08,75,54,4.83,SO
667,Buala,-8.145,159.5921,overcast clouds,83.89,73,91,6.89,SB
668,Zhezkazgan,47.8043,67.7144,broken clouds,37.51,41,76,12.44,KZ
669,Barranca,-10.75,-77.7667,few clouds,68.79,80,22,8.52,PE
670,Uruzgan,32.8333,66.0,clear sky,55.04,21,0,6.26,AF
671,Ashqelon,31.6693,34.5715,scattered clouds,62.01,77,40,2.3,IL
672,Gijon,43.5357,-5.6615,scattered clouds,57.0,83,49,3.96,ES
673,Port Augusta,-32.5,137.7667,scattered clouds,54.0,87,27,6.91,AU
674,Bagn,60.8225,9.5521,scattered clouds,37.0,44,31,4.68,NO
675,Mahajanga,-15.7167,46.3167,scattered clouds,78.8,78,40,3.44,MG
676,Olinda,-8.0089,-34.8553,scattered clouds,80.6,74,40,6.91,BR
677,Bethanien,-26.502,17.1583,scattered clouds,71.11,32,46,3.02,NA
678,Klodzko,50.4349,16.6614,overcast clouds,37.99,89,91,4.79,PL
679,San Andres,12.5847,-81.7006,few clouds,84.2,70,20,13.8,CO
680,Gulu,2.7746,32.299,light rain,64.69,96,100,4.12,UG
681,Boyolangu,-8.1181,111.8935,scattered clouds,72.01,86,28,0.49,ID
682,Curup,-3.4667,102.5333,overcast clouds,65.39,96,97,0.89,ID
683,Qena,26.1615,32.7183,clear sky,82.4,26,0,3.44,EG
684,Mitchell,43.7094,-98.0298,overcast clouds,53.6,43,90,13.8,US
685,Benjamin Constant,-4.3831,-70.0311,few clouds,87.8,70,20,3.44,BR
686,Mantua,45.1667,10.7833,scattered clouds,53.01,84,31,4.0,IT
687,Ipixuna,-1.7625,-48.8043,moderate rain,75.2,94,75,2.3,BR
688,Tarancon,40.0085,-3.0073,scattered clouds,51.8,93,40,5.75,ES
689,Dzerzhinskoye,56.8344,95.2283,few clouds,21.65,89,15,2.06,RU
690,Ritchie,-29.038,24.6028,broken clouds,55.4,58,56,4.61,ZA
691,Itarema,-2.9248,-39.9167,few clouds,78.3,81,20,6.6,BR
692,Coos Bay,43.3665,-124.2179,few clouds,64.0,71,20,14.97,US
