City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
388,Xuddur,SO,76.03,light rain,4.1213,43.8894,Banjanay Hotel
394,Saint-Pierre,RE,77.0,moderate rain,-21.3393,55.4781,Lindsey Hôtel
395,Port-Gentil,GA,77.58,overcast clouds,-0.7193,8.7815,Fengshui Residence
399,Bambous Virieux,MU,77.0,moderate rain,-20.3428,57.7575,Casa Tia Villa
400,El Alto,PE,72.86,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
403,Shahr-E Babak,IR,65.5,scattered clouds,30.1165,55.1186,اقامتگاه گردشگری دوناdunagarden ecolodge
407,Luanda,AO,76.08,light rain,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
411,Punta Alta,AR,64.18,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
413,Cap Malheureux,MU,75.99,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
414,Basco,PH,78.22,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
415,Muzaffargarh,PK,71.6,smoke,30.0754,71.1921,Aghosh Hotel
418,Ciudad Dario,NI,77.0,scattered clouds,12.7314,-86.124,"Barrio Edén, Ciudad Darío"
423,Singkang,MY,77.0,few clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
424,Meulaboh,ID,76.05,overcast clouds,4.1363,96.1285,Kost Pria
425,Pilar,BR,77.0,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
426,Sinnamary,GF,77.34,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
430,Apac,UG,67.19,overcast clouds,1.9756,32.5386,Double Duez Apac
433,Ambilobe,MG,73.2,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
435,Nouadhibou,MR,64.4,clear sky,20.930999999999997,-17.0347,El Medina
438,Grand Forks,US,66.2,clear sky,47.9417,-97.4337,Warrior Inn
440,Sabinopolis,BR,67.59,scattered clouds,-18.6661,-43.0839,Hotel Pousada Jesus
442,San Isidro,PE,66.99,overcast clouds,-12.1167,-77.05,Soul Mate-Inn
446,Port Moresby,PG,77.0,heavy intensity rain,-9.4431,147.1797,Lamana Hotel
450,Yangjiang,CN,73.81,clear sky,21.85,111.9667,HUALUXE Yangjiang City Center
453,Naze,JP,69.8,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
459,Necochea,AR,61.0,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
464,Ponta Do Sol,PT,64.99,overcast clouds,32.6667,-17.1,Hotel do Campo
466,Palu,ID,77.56,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
469,Kadoma,JP,60.01,clear sky,34.7333,135.5833,Hotel Agora Osaka Moriguchi
470,Surgana,IN,73.78,overcast clouds,20.5667,73.6167,Taj Hotel
471,Poya,NC,79.56,broken clouds,-21.35,165.15,
478,Matara,LK,77.43,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
479,Half Moon Bay,US,62.01,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
481,Gimli,CA,66.2,few clouds,50.6336,-96.9907,Lakeview Gimli Resort
482,Plettenberg Bay,ZA,65.66,clear sky,-34.0527,23.3716,Thanda Vista B&B
487,Messina,IT,62.01,light rain,38.1933,15.5497,Hotel Touring
490,Cloquet,US,60.8,clear sky,46.7216,-92.4594,Super 8 by Wyndham Cloquet
493,Ahipara,NZ,67.57,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
496,Kamuli,UG,63.68,light rain,0.9472,33.1197,Century Hotel Limited And laundry Services
497,Balkanabat,TM,73.56,broken clouds,39.5108,54.3671,Nebitchi Hotel
499,Sijunjung,ID,70.61,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
501,Katobu,ID,76.21,scattered clouds,-4.9408,122.5276,La Ode Husein
502,Patna,IN,68.0,haze,25.6,85.1167,Hotel Vijay Shree Deluxe
503,Port Hedland,AU,62.6,clear sky,-20.3167,118.5667,The Esplanade Hotel
506,Yenagoa,NG,79.21,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
514,Sao Joao Da Barra,BR,71.82,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
515,Chitrakonda,IN,77.65,overcast clouds,18.1167,82.0833,Government girls hostel
516,General Roca,AR,60.8,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
518,Yanam,IN,77.76,heavy intensity rain,16.7333,82.2167,The Regency Hotel
519,Quatre Cocos,MU,77.0,light rain,-20.2078,57.7625,Veranda Palmar Beach Hotel
522,Quirinopolis,BR,70.97,clear sky,-18.4483,-50.4517,Rota Hotéis - Quirinópolis GO
523,Lipari,IT,61.0,light rain,38.4674,14.954,Hotel Villa Diana Soc. Clelia Hunziker s.a.s.
525,Ghanzi,BW,62.04,overcast clouds,-21.5667,21.7833,Ghanzi Farmhouse
526,Bongandanga,CD,73.8,clear sky,1.5,21.05,
528,Tarauaca,BR,74.62,broken clouds,-8.1614,-70.7656,Flat Temporada
530,Palmerston North,NZ,66.0,overcast clouds,-40.35,175.6167,Distinction Coachman Hotel Palmerston North
531,Maragogi,BR,78.85,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
532,Padang,ID,75.2,scattered clouds,-0.9492,100.3543,Mercure Padang
533,Denpasar,ID,77.0,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
534,Canto Do Buriti,BR,73.42,scattered clouds,-8.11,-42.9444,Novo Hotel
538,Tonj,SS,78.82,light rain,7.2737,28.6822,
546,Los Llanos De Aridane,ES,68.0,clear sky,28.6585,-17.9182,Valle Aridane
547,General Pico,AR,61.86,light rain,-35.6566,-63.7568,Hotel Malargue
